model,excluded_country_id,excluded_country_iso3,term,base_coefficient,coefficient,standard_error,p_value,observations,countries
ECI,19,GAB,c.rents_mining#c.inst,-0.0021268324,-0.0019314708,0.0042674700,0.6529167891,1023,48
ECI,20,GHA,c.rents_mining#c.inst,-0.0021268324,-0.0027494293,0.0042823623,0.5239693522,1021,48
ECI,21,GIN,c.rents_mining#c.inst,-0.0021268324,-0.0006662461,0.0043046400,0.8776623011,1021,48
ECI,22,GMB,c.rents_mining#c.inst,-0.0021268324,-0.0019396329,0.0042978046,0.6538432837,1023,48
ECI,23,GUY,c.rents_mining#c.inst,-0.0021268324,-0.0029589266,0.0041136537,0.4755212069,1021,48
ECI,24,IDN,c.rents_mining#c.inst,-0.0021268324,-0.0022259096,0.0043213726,0.6089020967,1021,48
ECI,25,IND,c.rents_mining#c.inst,-0.0021268324,-0.0020227255,0.0043370728,0.6430978179,1021,48
ECI,26,IRN,c.rents_mining#c.inst,-0.0021268324,-0.0020136242,0.0043436796,0.6450915337,1026,48
ECI,27,IRQ,c.rents_mining#c.inst,-0.0021268324,-0.0024600206,0.0043044914,0.5703832507,1026,48
ECI,28,ISR,c.rents_mining#c.inst,-0.0021268324,-0.0021386184,0.0043126186,0.6222775578,1021,48
ECI,29,JAM,c.rents_mining#c.inst,-0.0021268324,-0.0021368815,0.0042745676,0.6194738746,1021,48
ECI,30,JOR,c.rents_mining#c.inst,-0.0021268324,-0.0019862538,0.0042628916,0.6434103251,1021,48
ECI,31,KWT,c.rents_mining#c.inst,-0.0021268324,-0.0022058189,0.0043446645,0.6140328646,1022,48
ECI,32,LBR,c.rents_mining#c.inst,-0.0021268324,-0.0019284104,0.0042141918,0.6493489146,1023,48
ECI,34,MNG,c.rents_mining#c.inst,-0.0021268324,-0.0023034387,0.0041987365,0.5858747959,1023,48
ECI,35,MRT,c.rents_mining#c.inst,-0.0021268324,-0.0038226016,0.0039460175,0.3376417458,1029,48
ECI,36,NGA,c.rents_mining#c.inst,-0.0021268324,-0.0022926726,0.0041972608,0.5874910951,1021,48
ECI,37,NOR,c.rents_mining#c.inst,-0.0021268324,-0.0021138131,0.0041607195,0.6138013005,1021,48
ECI,39,OMN,c.rents_mining#c.inst,-0.0021268324,-0.0021357236,0.0043425998,0.6251446009,1023,48
ECI,40,PER,c.rents_mining#c.inst,-0.0021268324,-0.0020258683,0.0041401414,0.6268886924,1021,48
ECI,42,QAT,c.rents_mining#c.inst,-0.0021268324,-0.0031349598,0.0043801852,0.4777088165,1021,48
ECI,43,RUS,c.rents_mining#c.inst,-0.0021268324,-0.0021460857,0.0043344577,0.6228208542,1024,48
ECI,44,SAU,c.rents_mining#c.inst,-0.0021268324,-0.0021961634,0.0043271673,0.6141570807,1025,48
ECI,46,SUR,c.rents_mining#c.inst,-0.0021268324,-0.0035232063,0.0046022963,0.4477820694,1028,48
ECI,47,SYC,c.rents_mining#c.inst,-0.0021268324,-0.0016450690,0.0042961584,0.7035081983,1024,48
ECI,48,SYR,c.rents_mining#c.inst,-0.0021268324,-0.0021821957,0.0042997752,0.6141676307,1031,48
ECI,49,TGO,c.rents_mining#c.inst,-0.0021268324,-0.0021466876,0.0043638796,0.6250644326,1021,48
ECI,50,TTO,c.rents_mining#c.inst,-0.0021268324,-0.0021539074,0.0043050754,0.6191858053,1021,48
