model,variable,horizon,beta,se,t_stat,p_val,ci_low,ci_high
DIVX,pexp,3,.0006821190057293,.0004569777196015,1.492674536351862,.1420666112948134,-.0002366962807613,.0016009342922199
DIVX,fexp,3,-.0003161569309431,.000433580628945,-.7291767893606813,.4694367488205401,-.0011879292137325,.0005556153518463
DIVX,vol,3,-.0003999582707264,.000886200625472,-.4513179738655431,.6537929208241569,-.0021817840505287,.0013818675090759
DIVX,rer,3,.0073656716724462,.0326259902205117,.2257608618976248,.8223459489095799,-.0582332782668229,.0729646216117153
DIVX,humcap,3,.1095073063177696,.042259327388064,2.591316830771414,.0126279907060588,.0245392338375064,.1944753787980328
DIVX,innov,3,.0408331756998973,.0187000202826348,2.183589915023556,.033912338998193,.0032342649513536,.078432086448441
DIVX,net,3,.0001158534483039,.0004213436928926,.2749618666617395,.7845256378578338,-.0007313148255317,.0009630217221395
DIVX,log_gdppc,3,-.147003812420456,.037851262579308,-3.883722824633543,.0003142573361177,-.2231088765823741,-.0708987482585378
DIVX,govcons,3,.0010686633233459,.001728291570153,.6183350898664018,.5392776643185192,-.0024062997789127,.0045436264256045
DIVX,fin,3,.0004068895194266,.000417792470295,.9739034289902316,.3349871386678129,-.0004331385428222,.0012469175816754
DIVX,rents,4,-.0016898478974619,.0009840354373055,-1.717263254348914,.0923776638978893,-.0036683837504423,.0002886879555185
DIVX,inst,4,.0055789194205373,.0456401415395258,.1222371191751406,.9032215767828785,-.0861867355017229,.0973445743427975
DIVX,rents_x_inst,4,.0010981222221738,.0009244443224672,1.187872752837164,.2407282744822103,-.0007605976640671,.0029568421084147
DIVX,log_oilpc,4,.0142185563021627,.0061373788844314,2.316714768617382,.0248329873895279,.0018785289964159,.0265585836079095
DIVX,log_gaspc,4,.0263179285616493,.0124009809001557,2.122245713749859,.0390038166608435,.001384085335162,.0512517717881366
DIVX,log_coalpc,4,-.0212490568218512,.0098339395868448,-2.160787813896762,.0357321207847549,-.0410215175595382,-.0014765960841642
DIVX,hhi,4,-.2005656401203535,.0616634378716165,-3.25258608736561,.0020962851878544,-.3245482915796281,-.0765829886610789
DIVX,pexp,4,.0003863573010668,.0005711170995448,.6764940173823197,.501974050822136,-.0007619505899515,.0015346651920851
DIVX,fexp,4,-.0006148298068924,.0004860456811624,-1.26496300804897,.2119915204404932,-.0015920901472307,.0003624305334459
DIVX,vol,4,.0003246654433755,.0009156397083435,.3545777235489907,.724459080918858,-.0015163515796809,.0021656824664319
DIVX,rer,4,.0168237229661159,.0330857645095551,.5084882642278749,.6134401938606766,-.0496996651393659,.0833471110715977
DIVX,humcap,4,.1111859982877861,.0506545745800857,2.194984346616103,.0330339776771232,.0093381500043968,.2130338465711754
DIVX,innov,4,.0472628536291799,.0245740147789331,1.923285798204108,.0603868226193936,-.0021465146197146,.0966722218780744
DIVX,net,4,.0002146373258676,.0004636164795642,.4629631070693589,.6454829965460385,-.0007175260821516,.0011468007338868
DIVX,log_gdppc,4,-.1598998298321098,.0436955847495018,-3.659404737315775,.0006279261112863,-.2477556912841735,-.0720439683800461
DIVX,govcons,4,.0016932082546032,.0018432053224004,.9186216174756595,.3628867615521475,-.002012804432053,.0053992209412594
DIVX,fin,4,.0006331417611955,.0005060245492247,1.251207598851797,.216922783073505,-.0003842887856868,.0016505723080778
DIVX,rents,5,-.0020746890805495,.001106276433468,-1.875380345982496,.0668302586360252,-.0042990069292208,.0001496287681218
DIVX,inst,5,-.0081646886403751,.0478310712896894,-.1706984271986211,.8651784130232935,-.1043355030698272,.088006125789077
DIVX,rents_x_inst,5,.0011151375853105,.0007929756361592,1.406269668903953,.1660851732414066,-.0004792467907004,.0027095219613214
