country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff
BRN,Brunei,BRN,2005,.0837768844022593,.0307684284098761,-5.503163694213967,0,1,1,ECI,-1.5974941,.1724137931034483,.0038314176245211
CAF,Central African Republic,CAF,2014,.0826102058319949,.0286455448726449,5.350691334100353,0,1,1,ECI,.8073048,.1724137931034483,.0038314176245211
BRN,Brunei,BRN,2000,.107777643647073,.0233657719797018,-4.172376879979613,0,1,1,ECI,-1.3063198,.1724137931034483,.0038314176245211
CMR,Cameroon,CMR,1998,.0928818679161045,.0193953239094551,-4.128917704056204,0,1,1,ECI,-2.2013767,.1724137931034483,.0038314176245211
IRQ,Iraq,IRQ,2009,.0914019921978175,.018620820781545,4.081583861548614,0,1,1,ECI,-.559676,.1724137931034483,.0038314176245211
VNM,Vietnam,VNM,1996,.1292944587405458,.0162337901540112,-3.13672840369861,0,1,1,ECI,-.85668755,.1724137931034483,.0038314176245211
GUY,Guyana,GUY,2021,.251940294124017,.0144588695968118,1.965657013248949,1,1,0,ECI,-1.1006831,.1724137931034483,.0038314176245211
BRN,Brunei,BRN,2002,.0963800108832267,.0133467322388975,-3.355893406356165,0,1,1,ECI,-.9969612,.1724137931034483,.0038314176245211
AGO,Angola,AGO,2015,.1077766852498518,.0131977831351371,3.135783865555729,0,1,1,ECI,-.5443719,.1724137931034483,.0038314176245211
MRT,Mauritania,MRT,2014,.0971544448057822,.0127689234482256,3.267937871744567,0,1,1,ECI,-1.0154322,.1724137931034483,.0038314176245211
IRQ,Iraq,IRQ,2020,.132875765980903,.0126041217722007,2.720791870530887,0,1,0,ECI,-.8932634,.1724137931034483,.0038314176245211
VNM,Vietnam,VNM,1998,.1179695286844034,.0121547842575369,-2.859905970143877,0,1,0,ECI,-.7686982,.1724137931034483,.0038314176245211
IRQ,Iraq,IRQ,2005,.1462945151460735,.0119517639257775,2.505401145920899,0,1,0,ECI,-.9537908,.1724137931034483,.0038314176245211
COG,Republic of the Congo,COG,2011,.0915963313713055,.0116995512866586,3.231515604700427,0,1,1,ECI,-.81586707,.1724137931034483,.0038314176245211
AGO,Angola,AGO,2014,.0923011190109246,.0116362981818712,-3.209194893096658,0,1,1,ECI,-2.1328814,.1724137931034483,.0038314176245211
COG,Republic of the Congo,COG,2000,.1265924397592251,.011320221772167,-2.651266050783436,0,1,0,ECI,-2.7341566,.1724137931034483,.0038314176245211
IRQ,Iraq,IRQ,2014,.0826245796572067,.0108794625457927,-3.297189390519763,0,1,1,ECI,-2.472654,.1724137931034483,.0038314176245211
CAF,Central African Republic,CAF,1996,.1120499415694232,.0107492081317746,-2.768840530678547,0,1,0,ECI,-1.2465459,.1724137931034483,.0038314176245211
SYC,Seychelles,SYC,2002,.1178948856302338,.0100782643745611,-2.605114495083992,0,1,0,ECI,-.649661,.1724137931034483,.0038314176245211
GUY,Guyana,GUY,2019,.1279930570119703,.0095511496584186,2.420002670475871,0,1,0,ECI,-.41496766,.1724137931034483,.0038314176245211
BRN,Brunei,BRN,2018,.0863800535600641,.0092135722239067,2.961497216835347,0,1,0,ECI,.580272,.1724137931034483,.0038314176245211
LBR,Liberia,LBR,2002,.1087796071150864,.0090538472521915,2.583786656696602,0,1,0,ECI,-.3935448,.1724137931034483,.0038314176245211
AGO,Angola,AGO,2013,.0805806761770533,.0088915178788234,-3.021694594787845,0,1,1,ECI,-2.092156,.1724137931034483,.0038314176245211
IRQ,Iraq,IRQ,2016,.0981259551575002,.0087518341440746,-2.69061642936733,0,1,0,ECI,-2.378709,.1724137931034483,.0038314176245211
AGO,Angola,AGO,2009,.0776979794642294,.0087399454435723,3.055676210294992,0,1,1,ECI,-.49584088,.1724137931034483,.0038314176245211
BRN,Brunei,BRN,2015,.0795420685111496,.0087214406120844,3.013831033088163,0,1,1,ECI,.65631944,.1724137931034483,.0038314176245211
ATG,Antigua and Barbuda,ATG,2006,.1045130483594994,.0084431282056146,-2.551627770563995,0,1,0,ECI,-.28271586,.1724137931034483,.0038314176245211
GMB,The Gambia,GMB,2002,.0818456649272532,.00831943812684,2.898199363127407,0,1,0,ECI,-.11224862,.1724137931034483,.0038314176245211
IRQ,Iraq,IRQ,2021,.108020466946547,.008252118437062,2.476443365897647,0,1,0,ECI,-1.0185448,.1724137931034483,.0038314176245211
GMB,The Gambia,GMB,2020,.0947709854390579,.0080405777691099,-2.629095838124796,0,1,0,ECI,-1.5266446,.1724137931034483,.0038314176245211
GAB,Gabon,GAB,2006,.0743484726850117,.0079362949303582,-2.982070382772487,0,1,0,ECI,-1.7187247,.1724137931034483,.0038314176245211
AGO,Angola,AGO,2016,.0824286934944389,.0079200313860604,2.816860955065822,0,1,0,ECI,-.5587154,.1724137931034483,.0038314176245211
DZA,Algeria,DZA,1998,.088278132318556,.0072457592915555,2.595182019199732,0,1,0,ECI,-.20179704,.1724137931034483,.0038314176245211
COG,Republic of the Congo,COG,2006,.0978930929061166,.0071668205308159,-2.43802131515213,0,1,0,ECI,-2.6168566,.1724137931034483,.0038314176245211
BRN,Brunei,BRN,2019,.0823973391893684,.0071360469552855,2.674366001868132,0,1,0,ECI,.59415704,.1724137931034483,.0038314176245211
GUY,Guyana,GUY,2020,.2083152294595747,.0069674034589295,1.543733643914266,1,1,0,ECI,-.82675105,.1724137931034483,.0038314176245211
MNG,Mongolia,MNG,1996,.1484618932824979,.006953895564315,1.894653878422504,0,1,0,ECI,-.40070465,.1724137931034483,.0038314176245211
NGA,Nigeria,NGA,2004,.0696279089488847,.0066405049586961,-2.825910922832678,0,1,0,ECI,-2.9010394,.1724137931034483,.0038314176245211
DZA,Algeria,DZA,2014,.0742561127155286,.0064892908310623,-2.698355681701447,0,1,0,ECI,-1.5001138,.1724137931034483,.0038314176245211
SYC,Seychelles,SYC,2015,.094072204284724,.0063866560531142,2.352741164228156,0,1,0,ECI,.7729941,.1724137931034483,.0038314176245211
MRT,Mauritania,MRT,2009,.0965094136696321,.0061625303077786,-2.278650752432648,0,1,0,ECI,-2.357995,.1724137931034483,.0038314176245211
LBR,Liberia,LBR,2015,.0746505675627578,.006136456119814,-2.616473832600009,0,1,0,ECI,-1.609395,.1724137931034483,.0038314176245211
QAT,Qatar,QAT,1996,.1409254840652929,.0059378756253666,1.804917905962008,0,1,0,ECI,.3328568,.1724137931034483,.0038314176245211
CAF,Central African Republic,CAF,1998,.1051816608280518,.0058449604291741,-2.115482653147348,0,1,0,ECI,-1.1081082,.1724137931034483,.0038314176245211
NGA,Nigeria,NGA,1996,.1238114845834373,.0057987917068792,1.921800587999678,0,1,0,ECI,-1.6133003,.1724137931034483,.0038314176245211
NGA,Nigeria,NGA,2005,.0703260062881128,.0057200129301008,-2.608717932580455,0,1,0,ECI,-2.8068197,.1724137931034483,.0038314176245211
QAT,Qatar,QAT,2015,.0946892393196919,.0056892940344261,-2.212579946644768,0,1,0,ECI,-.1637791,.1724137931034483,.0038314176245211
COD,Democratic Republic of the Congo,COD,2004,.0945597953139199,.0054764975996849,-2.17244770631502,0,1,0,ECI,-2.3014402,.1724137931034483,.0038314176245211
BDI,Burundi,BDI,2012,.0731707046361425,.0053645487013742,2.472971484023547,0,1,0,ECI,-.30153364,.1724137931034483,.0038314176245211
IRQ,Iraq,IRQ,2015,.0911708163254099,.0052691105461707,-2.174218167250223,0,1,0,ECI,-2.2593727,.1724137931034483,.0038314176245211
BRN,Brunei,BRN,2016,.0899580611670894,.0049488259176787,2.122672548675143,0,1,0,ECI,.38633046,.1724137931034483,.0038314176245211
COD,Democratic Republic of the Congo,COD,2010,.0815102151148546,.0048740605368574,2.223298934374435,0,1,0,ECI,-1.3107023,.1724137931034483,.0038314176245211
IRQ,Iraq,IRQ,2007,.0943542255809611,.0046483614201599,-2.003870740883277,0,1,0,ECI,-2.1347842,.1724137931034483,.0038314176245211
BRN,Brunei,BRN,2017,.087654012802461,.0046427736413892,2.085469734242805,0,1,0,ECI,.38860795,.1724137931034483,.0038314176245211
COG,Republic of the Congo,COG,2002,.1039247269203267,.0045271294403784,-1.874327647725725,0,1,0,ECI,-2.5105176,.1724137931034483,.0038314176245211
VNM,Vietnam,VNM,2021,.1029647455521578,.0045082940708327,1.88012988924541,0,1,0,ECI,.5467062,.1724137931034483,.0038314176245211
ATG,Antigua and Barbuda,ATG,2009,.0891014535259194,.0044795322818281,2.030159689247707,0,1,0,ECI,1.2664955,.1724137931034483,.0038314176245211
DZA,Algeria,DZA,2000,.0861264066514664,.0044379911637162,2.05868249398253,0,1,0,ECI,-.41647336,.1724137931034483,.0038314176245211
COD,Democratic Republic of the Congo,COD,2005,.0930549979468118,.0043078546853339,-1.943893203055671,0,1,0,ECI,-2.2437665,.1724137931034483,.0038314176245211
DZA,Algeria,DZA,2011,.0707508589310146,.0042735939932437,-2.24759527632723,0,1,0,ECI,-1.3837602,.1724137931034483,.0038314176245211
MRT,Mauritania,MRT,2005,.1344474687793555,.0042711409759427,1.573126359127083,0,1,0,ECI,-1.6823516,.1724137931034483,.0038314176245211
VNM,Vietnam,VNM,2020,.1064209692457583,.0042211152782984,1.786025850847801,0,1,0,ECI,.44940814,.1724137931034483,.0038314176245211
QAT,Qatar,QAT,2007,.0774528406392889,.0041843466858035,2.117925588361937,0,1,0,ECI,.5862271,.1724137931034483,.0038314176245211
ZMB,Zambia,ZMB,1996,.0980224544410406,.0040609150821603,1.833868899280368,0,1,0,ECI,-.321706,.1724137931034483,.0038314176245211
GAB,Gabon,GAB,2000,.0930953230517932,.0040547871940439,1.885481071989156,0,1,0,ECI,-.6451203,.1724137931034483,.0038314176245211
COG,Republic of the Congo,COG,2005,.0952267339951938,.0039965999048389,-1.848659924599963,0,1,0,ECI,-2.4046726,.1724137931034483,.0038314176245211
JAM,Jamaica,JAM,1998,.0948558199590579,.0039162650622096,-1.833936035688807,0,1,0,ECI,-.8530849,.1724137931034483,.0038314176245211
AGO,Angola,AGO,2004,.075726029887905,.0038839073140938,2.065539242000122,0,1,0,ECI,-.78779095,.1724137931034483,.0038314176245211
DZA,Algeria,DZA,1996,.0937295203035626,.0038702462224339,1.835191005941482,0,1,0,ECI,-.2357115,.1724137931034483,.0038314176245211
COD,Democratic Republic of the Congo,COD,2021,.3343018133883682,.0024571410354983,-.6635988396305947,1,0,0,ECI,-2.45712,.1724137931034483,.0038314176245211
CHL,Chile,CHL,2006,.172965947459736,.0016209409718074,.8351918455645801,1,0,0,ECI,.073709056,.1724137931034483,.0038314176245211
KWT,Kuwait,KWT,2020,.1906249144452827,.0005575943531916,.4615997055898472,1,0,0,ECI,.3139577,.1724137931034483,.0038314176245211
